Ticker,Instrument_Type,First_Date,Last_Date,Calendar_Days,Days_Adjusted,Days_Unadjusted,Days_Both,Coverage_Ratio
00DS30,Index,2013-01-04,2026-12-01,5080,3095,3095,3094,0.6091
00DSES,Index,2014-01-04,2026-12-01,4715,2862,2862,2861,0.6068
00DSEX,Index,2012-01-10,2026-12-01,5440,3172,3172,3171,0.5829
00DSMEX,Index,2022-01-09,2026-12-01,1788,804,472,472,0.264
1JANATAMF,MutualFund,2012-01-10,2026-12-01,5440,3114,3113,3113,0.5722
1STPRIMFMF,MutualFund,2012-01-10,2026-12-01,5440,3149,3148,3148,0.5787
AAMRANET,Equity,2017-01-11,2026-12-01,3612,1955,1954,1954,0.541
AAMRATECH,Equity,2012-01-10,2026-12-01,5440,3154,3153,3153,0.5796
ABB1STMF,MutualFund,2012-01-11,2026-12-01,5439,3067,3066,3066,0.5637
ABBANK,Equity,2012-01-10,2026-12-01,5440,3150,3149,3149,0.5789
ABBLPBOND,Bond,2023-01-08,2025-12-08,1066,80,80,80,0.075
ACFL,Equity,2018-01-10,2026-12-01,3248,1669,1668,1668,0.5135
ACHIASF,Equity,2022-01-08,2026-12-01,1789,828,467,467,0.261
ACI,Equity,2012-01-10,2026-12-01,5440,3144,3143,3143,0.5778
ACIFORMULA,Equity,2012-01-10,2026-12-01,5440,3144,3143,3143,0.5778
ACMELAB,Equity,2016-01-08,2026-12-01,3981,2279,2278,2278,0.5722
ACMEPL,Equity,2021-01-12,2026-12-01,2150,922,921,921,0.4284
ACTIVEFINE,Equity,2012-01-10,2026-12-01,5440,3098,3087,3087,0.5675
ADNTEL,Equity,2020-01-03,2026-12-01,2525,1411,1410,1410,0.5584
ADVENT,Equity,2018-01-08,2026-12-01,3250,1811,1810,1810,0.5569
AFCAGRO,Equity,2014-01-04,2026-12-01,4715,2701,2700,2700,0.5726
AFTABAUTO,Equity,2012-01-10,2026-12-01,5440,3157,3156,3156,0.5801
AGNISYSL,Equity,2012-01-10,2026-12-01,5440,3156,3155,3155,0.58
AGRANINS,Equity,2012-01-10,2026-12-01,5440,3133,3132,3132,0.5757
AIBL1STIMF,MutualFund,2012-01-10,2026-12-01,5440,3017,3016,3016,0.5544
AIL,Equity,2017-12-28,2026-12-01,3261,1791,1790,1790,0.5489
AL-HAJTEX,Equity,2012-01-10,2026-12-01,5440,3126,3125,3125,0.5744
ALARABANK,Equity,2012-01-10,2026-12-01,5440,3154,3153,3153,0.5796
ALIF,Equity,2012-01-10,2026-12-01,5440,3119,3118,3118,0.5732
ALLTEX,Equity,2012-01-10,2026-12-01,5440,3086,3085,3085,0.5671
AMANFEED,Equity,2015-01-09,2026-12-01,4345,2412,2411,2411,0.5549
AMBEEPHA,Equity,2012-01-10,2026-12-01,5440,3153,3152,3152,0.5794
AMCL(PRAN),Equity,2012-01-10,2026-12-01,5440,3147,3146,3146,0.5783
AMPL,Equity,2023-01-10,2026-12-01,1422,619,470,470,0.3305
ANLIMAYARN,Equity,2012-01-10,2026-12-01,5440,3158,3157,3157,0.5803
ANWARGALV,Equity,2012-01-10,2026-12-01,5440,3133,3132,3132,0.5757
AOL,Equity,2020-01-11,2026-12-01,2517,1229,1228,1228,0.4879
AOPLC,Equity,2024-01-02,2026-12-01,1065,483,472,472,0.4432
APEXFOODS,Equity,2012-01-10,2026-12-01,5440,3133,3132,3132,0.5757
APEXFOOT,Equity,2012-01-10,2026-12-01,5440,3131,3130,3130,0.5754
APEXSPINN,Equity,2012-01-10,2026-12-01,5440,3085,3084,3084,0.5669
APEXTANRY,Equity,2012-01-10,2026-12-01,5440,3102,3101,3101,0.57
APEXWEAV,Equity,2014-01-10,2026-12-01,4709,1001,473,473,0.1004
APOLOISPAT,Equity,2013-12-24,2026-12-01,4726,2816,2815,2815,0.5956
APSCLBOND,Bond,2020-01-11,2026-08-01,2395,362,362,362,0.1511
ARAMIT,Equity,2012-01-10,2026-12-01,5440,3145,3144,3144,0.5779
ARAMITCEM,Equity,2012-01-10,2026-12-01,5440,3146,3145,3145,0.5781
ARGONDENIM,Equity,2013-01-04,2026-12-01,5080,2964,2963,2963,0.5833
ASIAINS,Equity,2012-01-10,2026-12-01,5440,3145,3144,3144,0.5779
ASIAPACINS,Equity,2012-01-10,2026-12-01,5440,3120,3119,3119,0.5733
ASIATICLAB,Equity,2024-01-04,2026-12-01,1063,445,444,444,0.4177
ATCSLGF,Equity,2015-01-04,2025-12-02,3986,2176,2176,2176,0.5459
ATLASBANG,Equity,2012-01-10,2026-12-01,5440,2911,2910,2910,0.5349
AZIZPIPES,Equity,2012-01-10,2026-12-01,5440,3130,3129,3129,0.5752
BANGAS,Equity,2012-01-10,2026-12-01,5440,3151,3150,3150,0.579
BANKASI1PB,Equity,2024-01-15,2025-06-23,526,5,5,5,0.0095
BANKASIA,Equity,2012-01-10,2026-12-01,5440,3113,3112,3112,0.5721
BARKAPOWER,Equity,2012-01-10,2026-12-01,5440,3066,3065,3065,0.5634
BATASHOE,Equity,2012-01-10,2026-12-01,5440,3123,3122,3122,0.5739
BATBC,Equity,2012-01-10,2026-12-01,5440,3128,3127,3127,0.5748
BAYLEASING,Equity,2012-01-10,2026-12-01,5440,2983,2982,2982,0.5482
BBS,Equity,2013-01-12,2026-12-01,5072,2891,2890,2890,0.5698
BBSCABLES,Equity,2017-01-08,2026-12-01,3615,1967,1966,1966,0.5438
BDAUTOCA,Equity,2012-01-10,2026-12-01,5440,3093,3092,3092,0.5684
BDCOM,Equity,2012-01-10,2026-12-01,5440,3158,3157,3157,0.5803
BDFINANCE,Equity,2012-01-10,2026-12-01,5440,2973,2972,2972,0.5463
BDLAMPS,Equity,2012-01-10,2026-12-01,5440,3106,3105,3105,0.5708
BDPAINTS,Equity,2022-01-08,2026-12-01,1789,852,470,470,0.2627
BDTHAI,Equity,2012-01-10,2026-12-01,5440,3132,3131,3131,0.5756
BDTHAIFOOD,Equity,2022-01-02,2026-12-01,1795,920,919,919,0.512
BDWELDING,Equity,2012-01-10,2026-12-01,5440,3168,3166,3166,0.582
BEACHHATCH,Equity,2012-01-10,2026-12-01,5440,3139,3138,3138,0.5768
BEACONPHAR,Equity,2012-01-10,2026-12-01,5440,3104,3103,3103,0.5704
BENGALBISC,Equity,2021-02-11,2026-12-01,2120,952,447,447,0.2108
BENGALWTL,Equity,2013-01-08,2026-12-01,5076,3015,3014,3014,0.5938
BERGERPBL,Equity,2012-01-10,2026-12-01,5440,3067,3066,3066,0.5636
BESTHLDNG,Equity,2024-01-04,2026-12-01,1063,465,464,464,0.4365
BEXGSUKUK,Sukuk,2022-01-02,2026-12-01,1795,923,922,922,0.5136
BEXIMCO,Equity,2012-01-10,2026-11-01,5410,3016,3015,3015,0.5573
BGIC,Equity,2012-01-10,2026-12-01,5440,3154,3153,3153,0.5796
BIFC,Equity,2012-01-10,2026-12-01,5440,2976,2975,2975,0.5469
BNICL,Equity,2016-01-06,2026-12-01,3983,2305,2304,2304,0.5785
BPML,Equity,2018-01-08,2026-12-01,3250,1774,1773,1773,0.5455
BPPL,Equity,2021-01-09,2026-12-01,2153,1011,1010,1010,0.4691
BRACBANK,Equity,2012-01-10,2026-12-01,5440,3156,3155,3155,0.58
BSC,Equity,2012-01-10,2026-12-01,5440,3157,3156,3156,0.5801
BSCPLC,Equity,2012-01-10,2026-12-01,5440,3147,3146,3146,0.5783
BSRMLTD,Equity,2015-01-06,2026-12-01,4348,2449,2448,2448,0.563
BSRMSTEEL,Equity,2012-01-10,2026-12-01,5440,3131,3130,3130,0.5754
BXPHARMA,Equity,2012-01-10,2026-12-01,5440,3156,3155,3155,0.58
BXSYNTH,Equity,2012-01-10,2020-12-08,3256,1866,1866,1866,0.5731
CAPITECGBF,Equity,2023-01-11,2026-12-01,1421,540,539,539,0.3793
CAPMBDBLMF,MutualFund,2017-01-02,2026-12-01,3621,1984,1983,1983,0.5476
CAPMIBBLMF,MutualFund,2018-01-04,2026-12-01,3254,1799,1798,1798,0.5526
CBLPBOND,Bond,2022-08-14,2022-08-14,1,1,1,1,1.0
CENTRALINS,Equity,2012-01-10,2026-12-01,5440,3127,3126,3126,0.5746
CENTRALPHL,Equity,2013-01-09,2026-12-01,5075,2953,2952,2952,0.5817
CITYBANK,Equity,2012-01-10,2026-12-01,5440,3155,3154,3154,0.5798
CITYGENINS,Equity,2012-01-10,2026-12-01,5440,3156,3155,3155,0.58
CLICL,Equity,2022-01-11,2026-12-01,1786,776,775,775,0.4339
CNATEX,Equity,2015-01-02,2026-12-01,4352,2544,2543,2543,0.5843
CONFIDCEM,Equity,2012-01-10,2026-12-01,5440,3122,3121,3121,0.5737
CONTININS,Equity,2012-01-10,2026-12-01,5440,3137,3136,3136,0.5765
COPPERTECH,Equity,2019-01-09,2026-12-01,2884,1426,1425,1425,0.4941
CRAFTSMAN,Equity,2024-01-08,2026-12-01,1059,400,399,399,0.3768
CROWNCEMNT,Equity,2012-01-10,2026-12-01,5440,2989,2988,2988,0.5493
CRYSTALINS,Equity,2020-12-21,2026-12-01,2172,1222,1221,1221,0.5622
CVOPRL,Equity,2012-01-10,2026-12-01,5440,3050,3049,3049,0.5605
DACCADYE,Equity,2012-01-10,2026-12-01,5440,3146,3145,3145,0.5781
DAFODILCOM,Equity,2012-01-10,2026-12-01,5440,3017,3016,3016,0.5544
DBH,Equity,2012-01-10,2026-12-01,5440,3118,3117,3117,0.573
DBH1STMF,MutualFund,2012-01-10,2026-12-01,5440,3029,3028,3028,0.5566
DBLPBOND,Bond,2023-04-07,2025-12-14,983,23,23,23,0.0234
DELTALIFE,Equity,2012-01-10,2026-12-01,5440,3128,3127,3127,0.5748
DELTASPINN,Equity,2012-01-10,2026-12-01,5440,3076,3075,3075,0.5653
DESCO,Equity,2012-01-10,2026-12-01,5440,3058,3057,3057,0.5619
DESHBANDHU,Equity,2012-01-10,2026-12-01,5440,3148,3147,3147,0.5785
DGIC,Equity,2021-01-04,2026-12-01,2158,1155,1154,1154,0.5348
DHAKABANK,Equity,2012-01-10,2026-12-01,5440,3146,3145,3145,0.5781
DHAKAINS,Equity,2012-01-10,2026-12-01,5440,3143,3142,3142,0.5776
DOMINAGE,Equity,2020-02-12,2026-12-01,2485,1212,1211,1211,0.4873
DOREENPWR,Equity,2016-01-06,2026-12-01,3983,2238,2237,2237,0.5616
DSHGARME,Equity,2012-01-10,2026-12-01,5440,3139,3138,3138,0.5768
DSSL,Equity,2016-01-06,2026-12-01,3983,2262,2261,2261,0.5677
DULAMIACOT,Equity,2012-01-10,2026-12-01,5440,2876,2875,2875,0.5285
DUTCHBANGL,Equity,2012-01-10,2026-12-01,5440,3146,3145,3145,0.5781
EASTERNINS,Equity,2012-01-10,2026-12-01,5440,3134,3133,3133,0.5759
EASTLAND,Equity,2012-01-10,2026-12-01,5440,3152,3151,3151,0.5792
EASTRNLUB,Equity,2012-01-10,2026-12-01,5440,3006,3005,3005,0.5524
EBL,Equity,2012-01-10,2026-12-01,5440,3151,3150,3150,0.579
EBL1STMF,MutualFund,2012-01-10,2026-12-01,5440,2945,2944,2944,0.5412
EBLNRBMF,MutualFund,2012-01-10,2026-12-01,5440,2945,2944,2944,0.5412
ECABLES,Equity,2012-01-10,2026-12-01,5440,3113,3112,3112,0.5721
EGEN,Equity,2021-01-03,2026-12-01,2159,1134,1133,1133,0.5248
EHL,Equity,2012-01-10,2026-12-01,5440,3160,3159,3159,0.5807
EIL,Equity,2020-01-09,2026-12-01,2519,1297,1296,1296,0.5145
EMERALDOIL,Equity,2014-01-04,2026-12-01,4715,2816,2815,2815,0.597
ENVOYTEX,Equity,2012-09-12,2026-12-01,5194,2945,2944,2944,0.5668
EPGL,Equity,2021-01-02,2026-12-01,2160,1156,1155,1155,0.5347
ESQUIRENIT,Equity,2019-01-08,2026-12-01,2885,1425,1424,1424,0.4936
ETL,Equity,2016-01-08,2026-12-01,3981,2162,2161,2161,0.5428
EXIM1STMF,MutualFund,2013-01-08,2026-12-01,5076,2528,2527,2527,0.4978
EXIMBANK,Equity,2012-01-10,2025-12-10,5084,3100,3099,3099,0.6096
FAMILYTEX,Equity,2013-01-08,2026-12-01,5076,2903,2892,2892,0.5697
FARCHEM,Equity,2014-01-09,2026-12-01,4710,2712,2711,2711,0.5756
FAREASTFIN,Equity,2013-01-10,2026-12-01,5074,2694,2693,2693,0.5307
FAREASTLIF,Equity,2012-01-10,2026-12-01,5440,3097,3096,3096,0.5691
FASFIN,Equity,2012-01-10,2026-12-01,5440,3091,3090,3090,0.568
FBFIF,Equity,2012-01-10,2026-12-01,5440,2894,2893,2893,0.5318
FEDERALINS,Equity,2012-01-10,2026-12-01,5440,3151,3150,3150,0.579
FEKDIL,Equity,2014-01-09,2026-12-01,4710,2678,2677,2677,0.5684
FINEFOODS,Equity,2012-01-10,2026-12-01,5440,3155,3154,3154,0.5798
FIRSTFIN,Equity,2012-01-10,2026-12-01,5440,3003,3002,3002,0.5518
FIRSTSBANK,Equity,2012-01-10,2025-12-10,5084,3099,3098,3098,0.6094
FORTUNE,Equity,2016-01-11,2026-12-01,3978,2129,2128,2128,0.5349
FUWANGCER,Equity,2012-01-10,2026-12-01,5440,3116,3105,3105,0.5708
FUWANGFOOD,Equity,2012-01-10,2026-12-01,5440,3124,3123,3123,0.5741
GBBPOWER,Equity,2012-01-10,2026-12-01,5440,3149,3148,3148,0.5787
GEMINISEA,Equity,2012-01-10,2026-12-01,5440,3084,3083,3083,0.5667
GENEXIL,Equity,2019-01-04,2026-12-01,2889,1604,1603,1603,0.5549
GENNEXT,Equity,2012-05-12,2026-12-01,5317,3117,3106,3106,0.5842
GHAIL,Equity,2013-01-04,2026-12-01,5080,2984,2983,2983,0.5872
GHCL,Equity,2013-01-04,2026-12-01,5080,2828,2827,2827,0.5565
GIB,Equity,2022-01-12,2025-12-10,1429,710,709,709,0.4962
GLDNJMF,MutualFund,2022-01-12,2026-12-01,1785,660,659,659,0.3692
GLOBALINS,Equity,2012-01-10,2026-12-01,5440,3147,3136,3136,0.5765
GOLDENSON,Equity,2012-01-10,2026-12-01,5440,3015,3014,3014,0.554
GP,Equity,2012-01-10,2026-12-01,5440,3147,3146,3146,0.5783
GPHISPAT,Equity,2012-01-10,2026-12-01,5440,3137,3136,3136,0.5765
GQBALLPEN,Equity,2012-01-10,2026-12-01,5440,3149,3148,3148,0.5787
GRAMEENS2,Equity,2012-01-10,2026-12-01,5440,3039,3038,3038,0.5585
GREENDELMF,MutualFund,2012-01-10,2026-12-01,5440,3015,3014,3014,0.554
GREENDELT,Equity,2012-01-10,2026-12-01,5440,3112,3111,3111,0.5719
GSPFINANCE,Equity,2012-01-10,2026-12-01,5440,2977,2976,2976,0.5471
HAKKANIPUL,Equity,2012-01-10,2026-12-01,5440,3102,3101,3101,0.57
HAMI,Equity,2012-01-10,2026-12-01,5440,3046,3045,3045,0.5597
HEIDELBCEM,Equity,2012-01-10,2026-12-01,5440,3119,3118,3118,0.5732
HFL,Equity,2014-04-12,2026-12-01,4617,2631,2630,2630,0.5696
HIMADRI,Equity,2021-04-10,2026-12-01,2062,549,431,431,0.209
HRTEX,Equity,2012-01-10,2026-12-01,5440,2993,2992,2992,0.55
HWAWELLTEX,Equity,2014-01-06,2026-12-01,4713,2754,2753,2753,0.5841
IBNSINA,Equity,2012-01-10,2026-12-01,5440,3152,3151,3151,0.5792
IBP,Equity,2018-01-11,2026-12-01,3247,1691,1690,1690,0.5205
ICB,Equity,2012-01-10,2026-12-01,5440,3093,3092,3092,0.5684
ICB3RDNRB,Equity,2012-01-10,2026-12-01,5440,2985,2984,2984,0.5485
ICBAGRANI1,Equity,2017-01-11,2026-12-01,3612,1644,1643,1643,0.4549
ICBAMCL2ND,Equity,2012-01-10,2026-12-01,5440,2954,2953,2953,0.5428
ICBEPMF1S1,MutualFund,2012-01-10,2026-12-01,5440,2907,2906,2906,0.5342
ICBIBANK,Equity,2012-01-10,2026-12-01,5440,3018,3017,3017,0.5546
ICBSONALI1,Equity,2013-01-08,2026-12-01,5076,2627,2626,2626,0.5173
ICICL,Equity,2022-12-18,2026-12-01,1445,740,739,739,0.5114
IDLC,Equity,2012-01-10,2026-12-01,5440,3123,3122,3122,0.5739
IFADAUTOS,Equity,2015-01-03,2026-12-01,4351,2556,2555,2555,0.5872
IFIC,Equity,2012-01-10,2026-12-01,5440,3154,3153,3153,0.5796
IFIC1STMF,MutualFund,2012-01-10,2026-12-01,5440,3091,3090,3090,0.568
IFILISLMF1,MutualFund,2012-01-10,2026-12-01,5440,2962,2961,2961,0.5443
ILFSL,Equity,2012-01-10,2026-12-01,5440,3096,3095,3095,0.5689
INDEXAGRO,Equity,2021-01-06,2026-12-01,2156,1055,1054,1054,0.4889
INTECH,Equity,2012-01-10,2026-12-01,5440,3144,3143,3143,0.5778
INTRACO,Equity,2018-01-08,2026-12-01,3250,1794,1793,1793,0.5517
IPDC,Equity,2012-01-10,2026-12-01,5440,3021,3020,3020,0.5551
ISLAMIBANK,Equity,2012-01-10,2026-12-01,5440,3125,3124,3124,0.5743
ISLAMICFIN,Equity,2012-01-10,2026-12-01,5440,3097,3095,3095,0.5689
ISLAMIINS,Equity,2012-01-10,2026-12-01,5440,3143,3142,3142,0.5776
ISNLTD,Equity,2012-01-10,2026-12-01,5440,3138,3137,3137,0.5767
ITC,Equity,2016-01-02,2026-12-01,3987,2371,2370,2370,0.5944
JAMUNABANK,Equity,2012-01-10,2026-12-01,5440,3156,3155,3155,0.58
JAMUNAOIL,Equity,2012-01-10,2026-12-01,5440,3158,3157,3157,0.5803
JANATAINS,Equity,2012-01-10,2026-12-01,5440,3134,3133,3133,0.5759
JHRML,Equity,2022-01-06,2026-12-01,1791,913,912,912,0.5092
JMISMDL,Equity,2013-01-08,2026-12-01,5076,2937,2936,2936,0.5784
JUTESPINN,Equity,2012-01-10,2026-12-01,5440,2981,2980,2980,0.5478
KARNAPHULI,Equity,2012-01-10,2026-12-01,5440,3150,3149,3149,0.5789
KAY&QUE,Equity,2012-01-10,2026-12-01,5440,3072,3071,3071,0.5645
KBPPWBIL,Equity,2014-01-12,2026-12-01,4707,2629,2628,2628,0.5583
KBSEED,Equity,2022-01-08,2026-12-01,1789,872,461,461,0.2577
KDSALTD,Equity,2015-01-11,2026-12-01,4343,2334,2333,2333,0.5372
KEYACOSMET,Equity,2012-01-10,2026-12-01,5440,3166,3156,3156,0.5801
KFL,Equity,2021-01-12,2026-12-01,2150,959,469,469,0.2181
KOHINOOR,Equity,2012-01-10,2026-12-01,5440,2926,2925,2925,0.5377
KPCL,Equity,2012-01-10,2026-12-01,5440,3038,3037,3037,0.5583
KPPL,Equity,2014-01-09,2026-12-01,4710,2663,2662,2662,0.5652
KTL,Equity,2018-02-12,2026-12-01,3215,1580,1579,1579,0.4911
LANKABAFIN,Equity,2012-01-10,2026-12-01,5440,3135,3134,3134,0.5761
LEGACYFOOT,Equity,2012-01-10,2026-12-01,5440,3092,3091,3091,0.5682
LHB,Equity,2012-01-10,2026-12-01,5440,3153,3152,3152,0.5794
LIBRAINFU,Equity,2012-01-10,2026-12-01,5440,2993,2992,2992,0.55
LINDEBD,Equity,2012-01-10,2026-12-01,5440,3106,3105,3105,0.5708
LOVELLO,Equity,2021-01-03,2026-12-01,2159,1165,1164,1164,0.5391
LRBDL,Equity,2021-01-04,2026-12-01,2158,1162,1161,1161,0.538
LRGLOBMF1,MutualFund,2012-01-10,2026-12-01,5440,2998,2997,2997,0.5509
MAGURAPLEX,Equity,2021-01-09,2026-12-01,2153,1102,1101,1101,0.5114
MAKSONSPIN,Equity,2012-01-10,2026-12-01,5440,3103,3102,3102,0.5702
MALEKSPIN,Equity,2012-01-10,2026-12-01,5440,3117,3116,3116,0.5728
MAMUNAGRO,Equity,2022-01-08,2026-12-01,1789,892,467,467,0.261
MARICO,Equity,2012-01-10,2026-12-01,5440,3115,3114,3114,0.5724
MASTERAGRO,Equity,2021-01-11,2026-12-01,2151,973,470,470,0.2185
MATINSPINN,Equity,2014-01-06,2026-12-01,4713,2664,2663,2663,0.565
MBL1STMF,MutualFund,2012-01-10,2026-12-01,5440,2964,2963,2963,0.5447
MBPLCPBOND,Bond,2024-03-19,2024-03-19,1,1,1,1,1.0
MEGCONMILK,Equity,2012-01-10,2026-12-01,5440,3086,3085,3085,0.5671
MEGHNACEM,Equity,2012-01-10,2026-12-01,5440,3098,3097,3097,0.5693
